Statement,label
"The so called 'new age' chhokras of the city have a tendency to accumulate near this lake side street and kick the two wheeler vehicle ridden people, especially women.","[1,1,0]"
An old man was trying touching my friend again and again until finally I rebuked the person . It happened during the morning hours .,"[0,0,1]"
Chatting and befriending different people on facebook has made guys sending me ponographic pictures and their persuading me to send mine.,"[0,0,0]"
i was with my friends wet in the rain and some boys commented on us,"[1,1,0]"
She was touched at private parts by her dance partner.,"[0,0,1]"
a bunch of guys were passing very bad comments,"[1,0,0]"
"some boys were teasing me when i was going to my sister,s house...i just scoled them more on m,y way.","[1,0,0]"
a boy tried touching another girls private part,"[0,0,1]"
"i was stalked by a guy near the park in shiv vihar. this happened late in the evening, it was dark, i decided not to confront him and quickly get home.","[0,0,0]"
"One of the entry/exit bridges of Malad station starts/ends near a men's public toilet. There is always a crowd of men standing there and also the path to the main road has a kind of a compound and during mornings or evenings there are boys and men standing there staring at every girl passing by, passing comments, making weird facial expressions and posture, singing songs, brushing against women as they pass by and so on","[1,1,1]"
A man in our area was caught red handed by the neighbours while he was trying to touch a nursery school girl's private partds but claimed he was helping the girl to remove her pant to urinate.,"[0,0,1]"
a man tried to touch me inappropriately on the road. i looked at him and said what and he didnt react to it. i went away.,"[0,0,1]"
"On the way to my maternal home, I was asked that if I can give him my number, if I needs him company etc.","[1,0,0]"
Indecent Environment in this area with lot of drunkers.,"[0,0,0]"
me and my friends were walking from school to home some people were commenting us with bad words as we react they started fighting with us,"[1,0,0]"
I was touched by a middle aged man about 40 years old and because i got panicked i did not even realise that somebody too my clutch from my bag. luckily i had money to return to home.,"[0,0,1]"
"While I was returning from college, group of boys teased me a lot by saying bad words.","[1,1,0]"
"at the time of deepawali, a brother of mine whom i trusted tried to harass me by touching n locking me in the room and he was not letting me go. i felt very embarassed, shy n unsafe","[0,0,1]"
it was on Monday evening I saw a girl walking and four boys taking pictures of her,"[0,0,0]"
"Molesters saw my friend on her vehicle near babari mandi and while they were about to leave, They tried to get hold of her pallu while she was on the bike. She scolded them but let them go,unfortunately.","[1,0,1]"
I was followed by a group of drunk boys on my way home,"[0,0,1]"
I was waiting for my friend in kingsway. There came a man in a motorbike and asked me quotlets goquot. At that time I didn't knew that it was sexual invite.,"[0,0,0]"
It was mostly during evenings that my sir used to call me at odd timings .,"[0,0,0]"
Walking from janakpuri metro station to aakash institue and a small little children tried to pick my pocket.,"[0,0,0]"
"at market area ,i went to collect my medicines but some guys on bike snatched my wallet and i couldn't do anything.","[0,0,0]"
"Being stalked by a guy, teasing.","[0,1,0]"
"I was walking along  olympic road when I passed some boys who wer sitted by the door where they sell CD's, higher and ruturn after watching. The bys sat there lookig and commenting on girls that were passing.  I was among the girls who were commented at.","[1,1,0]"
"This happened near virat cinema. i was going back home. these men standing at a corner passed comments at me and touched me inappropriately. when i ran away, a few of them started following me. i pretended like an aunty walking nearby is my relative by calling her bhabhi. this scared of the men and they went away. i later told that aunty what was happening. I am 16.","[1,0,1]"
A guy was travelling in a rickshaw and he kept looking back weirdly and repeatedly.,"[0,1,0]"
auto driver kept on driving to absurd places.,"[0,0,0]"
"she was impregnated while in school, boys used to call every time and harass her","[1,0,0]"
a boy took my picture and was commenting me unnecessarily,"[1,1,0]"
a friend of mine was abused asa child,"[0,1,1]"
"I was standing in a queue of a ride,a boy standing behind me was taking advantage of pushing force and trying to grope me","[0,0,1]"
"Was followed by man on bike, while I was walking home from bus stop.","[0,0,0]"
harrased in the evening,"[1,0,0]"
"When I was going home from school, two boys tried o rape me","[0,0,1]"
Age 15 yearsType of harassmentTaking pictures at a party (night)Catcalls wa jat (you look like a jat) (day time),"[0,0,0]"
"on my way home from an evening lecture,I noticed two men following me but was lucky to escape as a friend joined me","[0,0,0]"
Men catcall and comment while im either on my way to school or on my way back home.,"[1,0,0]"
"I was travelling with my two daughters on the bus, there were not many people on the bus, a man came and stood next to my elder daughter and started rubbing her arm when I got up and pushed him","[0,0,1]"
the man tried to grope me. someone came after 5 mins and i ran as fast i could.,"[0,0,1]"
Harassment,"[1,1,0]"
